Symbol,HGNC_ID,URL
AGAP6,23466,https://identifiers.org/hgnc:23466
AGAP7P,23465,https://identifiers.org/hgnc:23465
AGAP9,23463,https://identifiers.org/hgnc:23463
AGBL1,26504,https://identifiers.org/hgnc:26504
AGBL2,26296,https://identifiers.org/hgnc:26296
AGBL3,27981,https://identifiers.org/hgnc:27981
AGBL4,25892,https://identifiers.org/hgnc:25892
AGBL5,26147,https://identifiers.org/hgnc:26147
AGER,320,https://identifiers.org/hgnc:320
AGFG1,5175,https://identifiers.org/hgnc:5175
AGFG2,5177,https://identifiers.org/hgnc:5177
AGGF1,24684,https://identifiers.org/hgnc:24684
AGK,21869,https://identifiers.org/hgnc:21869
AGL,321,https://identifiers.org/hgnc:321
AGMAT,18407,https://identifiers.org/hgnc:18407
AGMO,33784,https://identifiers.org/hgnc:33784
AGO1,3262,https://identifiers.org/hgnc:3262
AGO2,3263,https://identifiers.org/hgnc:3263
AGO3,18421,https://identifiers.org/hgnc:18421
AGO4,18424,https://identifiers.org/hgnc:18424
AGPAT1,324,https://identifiers.org/hgnc:324
AGPAT2,325,https://identifiers.org/hgnc:325
AGPAT3,326,https://identifiers.org/hgnc:326
AGPAT4,20885,https://identifiers.org/hgnc:20885
AGPAT5,20886,https://identifiers.org/hgnc:20886
AGPS,327,https://identifiers.org/hgnc:327
AGR2,328,https://identifiers.org/hgnc:328
AGR3,24167,https://identifiers.org/hgnc:24167
AGRN,329,https://identifiers.org/hgnc:329
AGRP,330,https://identifiers.org/hgnc:330
AGT,333,https://identifiers.org/hgnc:333
AGTPBP1,17258,https://identifiers.org/hgnc:17258
AGTR1,336,https://identifiers.org/hgnc:336
AGTR2,338,https://identifiers.org/hgnc:338
AGTRAP,13539,https://identifiers.org/hgnc:13539
AGXT,341,https://identifiers.org/hgnc:341
AGXT2,14412,https://identifiers.org/hgnc:14412
AHCTF1,24618,https://identifiers.org/hgnc:24618
AHCY,343,https://identifiers.org/hgnc:343
AHCYL1,344,https://identifiers.org/hgnc:344
AHCYL2,22204,https://identifiers.org/hgnc:22204
AHCYP3,44995,https://identifiers.org/hgnc:44995
AHDC1,25230,https://identifiers.org/hgnc:25230
AHI1,21575,https://identifiers.org/hgnc:21575
AHNAK,347,https://identifiers.org/hgnc:347
AHNAK2,20125,https://identifiers.org/hgnc:20125
AHR,348,https://identifiers.org/hgnc:348
AHRR,346,https://identifiers.org/hgnc:346
AHSA1,1189,https://identifiers.org/hgnc:1189
AHSA2P,20437,https://identifiers.org/hgnc:20437
AHSG,349,https://identifiers.org/hgnc:349
AHSP,18075,https://identifiers.org/hgnc:18075
AICDA,13203,https://identifiers.org/hgnc:13203
AIDA,25761,https://identifiers.org/hgnc:25761
AIF1,352,https://identifiers.org/hgnc:352
AIF1L,28904,https://identifiers.org/hgnc:28904
AIFM1,8768,https://identifiers.org/hgnc:8768
AIFM2,21411,https://identifiers.org/hgnc:21411
AIFM3,26398,https://identifiers.org/hgnc:26398
AIG1,21607,https://identifiers.org/hgnc:21607
AIM2,357,https://identifiers.org/hgnc:357
AIMP1,10648,https://identifiers.org/hgnc:10648
AIMP2,20609,https://identifiers.org/hgnc:20609
AIP,358,https://identifiers.org/hgnc:358
AIPL1,359,https://identifiers.org/hgnc:359
AIRE,360,https://identifiers.org/hgnc:360
AIRIM,26039,https://identifiers.org/hgnc:26039
AJAP1,30801,https://identifiers.org/hgnc:30801
AJM1,37284,https://identifiers.org/hgnc:37284
AJUBA,20250,https://identifiers.org/hgnc:20250
AK1,361,https://identifiers.org/hgnc:361
AK2,362,https://identifiers.org/hgnc:362
AK3,17376,https://identifiers.org/hgnc:17376
AK3P4,39063,https://identifiers.org/hgnc:39063
AK4,363,https://identifiers.org/hgnc:363
AK4P3,21596,https://identifiers.org/hgnc:21596
AK5,365,https://identifiers.org/hgnc:365
AK6,49151,https://identifiers.org/hgnc:49151
AK7,20091,https://identifiers.org/hgnc:20091
AK8,26526,https://identifiers.org/hgnc:26526
AK9,33814,https://identifiers.org/hgnc:33814
AKAIN1,28285,https://identifiers.org/hgnc:28285
AKAP1,367,https://identifiers.org/hgnc:367
AKAP10,368,https://identifiers.org/hgnc:368
AKAP11,369,https://identifiers.org/hgnc:369
AKAP12,370,https://identifiers.org/hgnc:370
AKAP13,371,https://identifiers.org/hgnc:371
AKAP14,24061,https://identifiers.org/hgnc:24061
AKAP17A,18783,https://identifiers.org/hgnc:18783
AKAP3,373,https://identifiers.org/hgnc:373
AKAP4,374,https://identifiers.org/hgnc:374
AKAP5,375,https://identifiers.org/hgnc:375
AKAP6,376,https://identifiers.org/hgnc:376
AKAP7,377,https://identifiers.org/hgnc:377
AKAP8,378,https://identifiers.org/hgnc:378
AKAP8L,29857,https://identifiers.org/hgnc:29857
AKAP9,379,https://identifiers.org/hgnc:379
AKIP1,1170,https://identifiers.org/hgnc:1170
AKIRIN1,25744,https://identifiers.org/hgnc:25744
AKIRIN2,21407,https://identifiers.org/hgnc:21407
AKNA,24108,https://identifiers.org/hgnc:24108
AKNAD1,28398,https://identifiers.org/hgnc:28398
AKR1A1,380,https://identifiers.org/hgnc:380
